hcpcs_code,total_unique_beneficiaries,total_paid
D0351,1392,6967.13
91315,16790,6898.98
0091A,230,6802.58
X0597,45,6770.8
92564,327,6714.1
93533,13,6571.55
SO215,66,6569.74
0003U,201,6437.4
00810,237,6411.76
32405,108,6373.89
74010,453,6080.03
D1550,129,6056.82
49568,93,6048.03
91309,1903,5972.35
0109U,192,5965.3
D8694,76,5925
OP621,1941,5870.12
0159T,509,5722.32
0041A,186,5360.07
H0015GT,16,5346.72
49561,14,5282.83
T2041U4,32,5191.36
3HB11,983,5101.14
90669,2299,4987.35
0142A,137,4949.17
Z0058,168,4830
0356T,358,4815.71
0088U,56,4778.67
APT09,373,4764
1HA11,407,4677.65
APT18,330,4668.4
W9862,18,4597.5
APT02,572,4582.69
95975,122,4532.4
M0321,161,4517.32
M0199,12,4512.6
Z6300,62450,4478.44
Z6200,62466,4448.14
99215GT,31,4380.2
Z6402,63891,4208.88
91311,17765,4203.64
S9526,12,4072.88
1CHMS,111,3946.32
X4502,131,3912.63
0503T,26,3899.97
Y7508,12,3821.69
0407U,16,3800
98046,91,3746.4
W0020,16,3603.75
Z5900,54,3542.87
270,14,3470.51
T1023GT,15,3469.5
J7140,116,3356.75
0344U,239,3352.63
9928525,27,3313.53
G0650,27,3311.65
M0306,113,3258.68
0449U,149,3106.14
A0429ET,41,2955.2
D8084,13,2940
APT11,236,2933.04
X4501,90,2909.66
ZZZZZ,214,2702.57
00010,16,2685.2
99213GT,40,2685.06
A0800,141,2675.89
M0609,13,2639.14
X4306,352,2618.88
0114U,187,2618.86
90832GT,44,2609.38
A0427ET,30,2607.42
90847GT,16,2483.85
0502T,38,2425.6
OP299,34,2405.5
0172A,88,2401.15
H0045HB,15,2304.75
H2026U4,24,2266.06
99309GT,89,2225.97
74249,91,2217.97
W7334,13,2215.5
3IB11,230,2153.93
3EC11,297,2144.14
X4535,43,2129.81
0501T,69,2116.37
APT10,171,2072.34
T2025HO,12,2062.5
G0651,12,2013.51
X4106,293,1964.88
3HB21,1370,1843.54
Z0020,571,1841.06
0338U,28,1753.2
99440,52,1730.61
0134U,22,1709.13
OP276,50,1670.57
91317,4860,1642.54
OP510,87,1633.55
Z0334,88,1592.5
37222,26,1537.27
90837CR,16,1518.72
92506,41,1488.6
0525C,28,1478.46
90802,17,1476.64
H0045U4,16,1453.5
H1017,18,1440
XR180,12,1440
74245,49,1385.66
1IC11,14,1357.94
3HA11,2477,1333.46
1AFKS,81,1251.37
Z5922,25,1182
90853GT,41,1168.38
0227U,73,1163.7
OP450,776,1160
OP940,240,1127.27
83925,14,1092.91
